Cursor,cursor.com,Coding Assistant
Replit,replit.com,Coding Assistant
Poolside,poolside.ai,Coding Assistant
v0,v0.dev,Coding Assistant
Github Copilot,copilot.github.com,Coding Assistant
Cody,sourcegraph.com,Coding Assistant
Qodo,qodo.ai,Coding Assistant
Magic,magic.dev,Coding Assistant
Factory,factory.ai,Coding Assistant
Tabnine,tabnine.com,Coding Assistant
Mutable,mutable.ai,Dev Tool
Code Rabbit,coderabbit.ai,Dev Tool
Anima,animaapp.com,Frontend
Devin AI,cognition.ai,Coding Assistant
PlayerZero,playerzero.ai,Dev Tool
Mintlify,mintlify.com,Dev Tool
Stenography,stenography.dev,Dev Tool
Warp,warp.dev,Dev Tool
Polymet,polymet.ai,Frontend
Woz,withwoz.com,No-code / Low-code
Appypie,appypie.com,No-code / Low-code
Mendix,mendix.com,No-code / Low-code
Durable,durable.co,Website
Pre Dev,pre.dev,No-code / Low-code
Octave,octavehq.com,Sales
Copy AI,copy.ai,Copywriting
Jasper,jasper.ai,Copywriting
Writesonic,writesonic.com,Copywriting
Writer,writer.com,Copywriting
Hypotenuse,hypotenuse.ai,Copywriting
Peppertype,https://www.peppercontent.io/,Copywriting
Smartwriter,https://www.smartwriter.ai/,Email
Lavender,https://www.lavender.ai/,Email
Regie,regie.ai,Sales
Tome,tome.app,Sales
Figma,figma.com,Design
Uizard,uizard.io,Design
Twain,https://www.twain.ai/,Email
Magic Patterns,https://www.magicpatterns.com/,Design
Looka,looka.com,Design
Kittl,kittl.com,Images
Recraft,https://www.recraft.ai/,Images
Picsart,picsart.com,Images
Modyfi,https://www.modyfi.com/,Images
Canva,canva.com,Design
DallE,https://openai.com/,Images
Stable Diffusion,stability.ai,Images
Visual Electric,visualelectric.com,Images
Playground,playground.com,Images
MidJourney,midjourney.com,Images
Adobe,www.adobe.com,Images
Webflow,webflow.com,Website
Wix,wix.com,Website
Builder,builder.io,Website
Galileo,https://www.usegalileo.ai/,Frontend
Ion,https://www.ion.design/,Frontend
Anima,https://www.animaapp.com/,Frontend
Chordio,https://chordio.com/,Frontend
Marblism,https://www.marblism.com,No-code / Low-code
Flutterflow,https://www.flutterflow.io/,No-code / Low-code
Coframe,https://www.coframe.com/,Website
Tempo,https://www.tempolabs.ai/,Frontend
Rapidpages,https://www.rapidpages.com/,Frontend
Framer,https://www.framer.com/,Website
